,dev_id,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,CSS,47,7,-82.32128544502629,688139.556596151,688138.1951640446,0
1,1,CSS,41,5,-84.30824853788418,689131.1765414897,691655.1010348675,0
2,2,CSS,39,13,-109.03757339938264,675214.3783043411,653106.5090834046,0
3,3,CSS,32,10,-105.28329608006338,687437.6396756488,714635.3581144388,0
4,4,CSS,46,12,-88.34700598828212,687725.6184496979,686229.6222092778,0
5,5,CSS,44,11,-109.90585181715562,655409.5357210031,662957.9727823546,0
6,6,CSS,35,5,-82.34919785015177,689871.3958035527,691156.1375385778,0
7,7,CSS,34,11,-103.40881262087113,669318.5267097402,692882.5505284992,0
8,8,CSS,32,7,-96.25256409246622,698083.9012509405,691602.8431512023,0
9,9,CSS,36,6,-83.1238277248249,689646.4260126905,687451.8923534221,0
10,10,CSS,32,7,-106.00138154064842,695816.253173523,716136.2051732547,0
11,11,CSS,43,10,-111.73726380937637,718918.455931479,645154.2297482588,0
12,12,CSS,40,7,-110.50453301021302,705137.4856965473,732802.7690352742,0
13,13,CSS,48,10,-91.21939819185954,694388.4660002175,688829.6784941726,0
14,14,CSS,39,10,-100.6244390629549,691467.2072889535,704065.4196015712,0
15,15,FHSS,35,5,-88.49585437535511,692471.4801317301,687399.2641817849,0
