,dev_id,set,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,1,CSS,62,9,-111.00576802136513,715686.6307776197,730646.4067917543,0
1,1,1,CSS,45,15,-96.77171929437291,695844.2181659861,682425.420288624,0
2,2,1,CSS,61,10,-89.57158916119418,690313.210585904,693456.9641872202,0
3,3,1,CSS,72,32,-105.04399832955013,668451.543966694,676505.7838104627,0
4,4,1,CSS,69,22,-89.21588157208475,688314.8483111475,693236.0389123195,0
5,5,1,CSS,52,12,-90.6999073676759,684714.6367465135,689886.4200788975,0
6,6,1,CSS,62,19,-90.99266390038535,685183.8565955542,691853.7249837384,0
7,7,1,CSS,54,17,-100.97454373081848,689152.2848782134,704815.4508225893,0
8,8,1,CSS,68,25,-90.2226540992248,693683.0383000926,690719.7000367873,0
9,9,1,CSS,69,19,-83.99717883666075,688809.7656217676,687313.5489907966,0
10,10,1,CSS,73,23,-91.83189918808976,690731.119248551,684198.1216239354,0
11,11,1,CSS,66,18,-102.53652063690026,684141.5835937614,707084.0850408924,0
12,12,1,CSS,64,21,-101.16987908197743,705099.6023905927,690877.8324495945,0
13,13,1,CSS,63,23,-108.88950423798642,668463.7538938308,657319.9097709769,0
14,14,1,CSS,66,18,-88.84559957877138,692782.6615843171,687630.4302836576,0
15,15,2,CSS,65,22,-106.35031410036846,677193.9949669392,715279.7924658164,0
16,16,2,CSS,54,17,-101.61348031280525,702696.585708242,679487.3945936988,0
17,17,2,CSS,68,28,-104.71700791516685,692181.3936116088,712953.0455094712,0
18,18,2,CSS,63,21,-109.28605032213986,653043.8192639431,706336.2326945962,0
19,19,2,CSS,62,26,-106.83699162090329,705130.4792191825,663557.5505876117,0
20,20,2,CSS,64,20,-100.72926258451864,689626.200660801,674434.9055329509,0
21,21,2,CSS,51,24,-111.95004300523554,661042.6350860363,735958.4102435604,0
22,22,2,CSS,60,14,-87.8965920236623,688090.6340666915,692563.9973997221,0
23,23,2,CSS,60,20,-106.93110206309608,697975.3753811183,660047.5949063583,0
24,24,2,CSS,59,26,-108.9567057635571,656759.0829793018,710035.7263565229,0
