,dev_id,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,FHSS,29,0,-97.5260046635842,680632.9561189922,683912.2380421626,0
1,1,FHSS,31,0,-89.80729318504827,689316.28141199,685152.6875458461,0
2,2,FHSS,29,0,-82.17251583104402,688166.8458056258,688154.1439916224,0
3,3,FHSS,35,0,-87.11429156432449,691943.9413352475,691239.3482666399,0
4,4,FHSS,31,0,-100.84002726378489,704506.7181442153,687912.9962401591,0
5,5,FHSS,37,0,-105.30553682637806,695990.2418632108,664912.7811330201,0
6,6,FHSS,22,0,-94.78766544324301,682635.6789733693,692758.6840987314,0
7,7,FHSS,39,0,-88.77762038571842,685639.6907265368,689710.9332822057,0
8,8,FHSS,33,0,-104.26622057734787,667611.3045564984,695003.5809126203,0
9,9,FHSS,30,0,-100.26830841014613,689940.0767677263,703604.6530555397,0
