,dev_id,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,CSS,40,17,-100.31256598536565,675257.4092091307,691276.9993324502,0
1,1,CSS,24,19,-105.79675223813277,662646.5424222868,687369.7314223448,0
2,2,CSS,33,12,-91.04602010903812,694199.3674557745,690507.2792419853,0
3,3,CSS,28,14,-95.62575537043443,692479.4652620505,697147.4765461559,0
4,4,CSS,41,24,-106.80527507569073,662130.6102001966,702241.4964290017,0
5,5,CSS,32,12,-104.92194225448682,665157.8925826908,690327.6935834009,0
6,6,CSS,30,18,-105.25503365031501,683133.0850240785,664985.6496354159,0
7,7,CSS,36,22,-93.92479290732106,694437.7400349696,684768.5013675009,0
8,8,CSS,36,20,-103.20304103630207,675196.1323653418,703355.78872335,0
9,9,CSS,31,21,-107.56485208538341,721957.0731608571,694237.7610866324,0
10,10,CSS,40,24,-110.85829340393337,655965.0984836107,723940.9603913632,0
11,11,CSS,33,24,-110.58065855390586,657376.7506033463,655622.7953940281,0
12,12,CSS,30,18,-110.3286924321016,722263.6093838309,720497.1515029955,0
13,13,CSS,43,25,-108.20008293263658,688720.3752509527,724802.7266173431,0
14,14,CSS,31,5,-86.17611085041963,691330.5512262272,687366.9790101377,0
15,15,CSS,44,18,-93.86890595753069,694329.6017340476,684717.4284696825,0
16,16,CSS,32,17,-101.59973009234773,691083.7596243239,705882.7137330489,0
17,17,CSS,41,22,-106.179545063284,692928.5348020288,717241.1781294029,0
18,18,CSS,35,21,-103.43114024651535,709823.2359971153,688296.2167968797,0
19,19,CSS,28,8,-100.12664116146723,684609.7144077074,702533.9864579627,0
20,20,CSS,37,18,-100.94269428716355,695250.6130848477,675214.9233999923,0
21,21,CSS,42,24,-105.28392052266159,665994.9763967476,679822.2418376496,0
22,22,CSS,44,30,-110.58341111394125,642852.1766824055,688191.8663371982,0
23,23,CSS,27,14,-103.5733131509426,691233.1663202223,668711.0269626796,0
24,24,CSS,35,20,-110.80786884683368,711776.4599641316,647172.9106564815,0
25,25,CSS,37,14,-96.25496664491776,680924.7833156892,692248.5695119199,0
26,26,CSS,47,23,-110.57043499457441,695717.8520030295,643335.3849141529,0
27,27,CSS,43,27,-102.97728557288058,679775.6584605813,672570.7380491868,0
28,28,CSS,27,17,-104.19164402052456,687996.4695798535,711679.3500548406,0
29,29,CSS,33,20,-106.9355652099547,718774.3628353032,698031.496134093,0
30,30,CSS,34,21,-110.48796097331109,724625.2828063829,659712.3579318963,0
31,31,CSS,42,24,-100.28456212072344,696353.324295931,701832.7663505982,0
32,32,CSS,35,19,-111.37564505037321,652614.7635584689,724757.032264739,0
33,33,CSS,43,30,-109.92312300764348,732351.3360319444,693813.8312441071,0
34,34,CSS,38,23,-109.8076289948005,727608.3813923467,670561.0663660186,0
35,35,CSS,31,21,-109.98442657643177,690373.2562481768,732871.5461674219,0
36,36,CSS,45,20,-91.09374765396123,686955.5911611113,693696.7793939756,0
37,37,CSS,29,23,-107.85623429679283,657509.1211161602,701240.5389529591,0
38,38,CSS,35,19,-103.19723716074324,705030.8444325232,677081.7460595533,0
39,39,CSS,34,23,-110.5406913112905,653361.0129552191,718537.8896614242,0
40,40,CSS,35,17,-99.40967655757476,702277.5357176262,689367.5813521827,0
41,41,CSS,40,21,-107.07761988714617,673537.4640432518,716163.3886342577,0
42,42,CSS,40,17,-99.85451968802195,676161.6082625118,686607.5757523779,0
43,43,CSS,40,28,-110.8993457365668,721462.7832972329,725543.7803633666,0
44,44,CSS,33,22,-106.86720872394298,659893.9132514326,696526.9335495561,0
45,45,CSS,32,12,-92.8725013937593,687588.7436364894,683629.5266529636,0
46,46,CSS,42,21,-105.58369167629648,697341.5762000371,714373.2677111506,0
47,47,CSS,45,18,-82.26274819534535,690108.8559837498,687765.9270447993,0
48,48,CSS,42,28,-110.72045907871912,727422.0227574989,717587.5252517024,0
49,49,CSS,30,16,-100.20627715784772,700066.7926774796,680173.4256869886,0
50,50,FHSS,13,7,-104.98733539298814,684215.8064131916,713306.6103539059,0
51,51,FHSS,23,12,-106.7755951075105,679684.7167348412,717837.2346173456,0
52,52,FHSS,17,9,-108.34653660048406,713036.8086938831,716574.3694962006,0
53,53,FHSS,12,9,-108.51048701597853,682212.5100875457,725384.1951119272,0
54,54,FHSS,6,5,-109.32769630267852,710358.6212686435,723845.522003966,0
55,55,FHSS,13,7,-111.9715641771763,729001.3159864222,727077.8773907428,0
56,56,FHSS,13,8,-111.00317377957612,705724.5434813031,735489.2829059473,0
57,57,FHSS,9,5,-109.91143452124498,652604.9809070898,711851.2843291295,0
58,58,FHSS,15,9,-106.54584937537766,668623.9404498433,710003.220203645,0
59,59,FHSS,18,11,-108.36917489068009,653331.0235279546,690428.9215038547,0
