,dev_id,set,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,1,CSS,66,51,-84.29415736075379,688309.9584027646,687439.8503306474,0
1,1,1,CSS,43,33,-84.69242840232106,689645.4495221557,691763.095113523,0
2,2,1,CSS,74,64,-87.6037367915178,686177.3227382276,688728.2573086761,0
3,3,1,CSS,61,54,-87.77261068253617,689246.9470128271,692776.8562276327,0
4,4,1,CSS,62,55,-101.34847081085351,689164.4573434615,673328.5284981598,0
5,5,1,CSS,56,48,-100.92449287715947,697530.3383225978,702400.2475764023,0
6,6,1,CSS,73,62,-104.3572091569097,700189.423168378,709437.30581948,0
7,7,1,CSS,58,52,-111.8633038768218,657470.1261618346,645908.7211820299,0
8,8,1,CSS,73,65,-91.01534392381018,693961.234469936,691215.3876277591,0
9,9,1,CSS,61,50,-98.47124767222243,682945.816650095,698980.7307686179,0
10,10,1,CSS,70,60,-109.94717663016948,647632.7984406789,678089.0022277485,0
11,11,1,CSS,59,51,-100.23417655258591,686131.4548710778,703173.4490673605,0
12,12,1,CSS,67,59,-88.8155877899986,691804.7388206983,692362.0037412037,0
13,13,1,CSS,52,42,-97.53324069318762,686994.0576118693,679329.9415883202,0
14,14,1,CSS,72,57,-82.86321409479226,688949.4616571212,687552.5764967243,0
15,15,1,CSS,77,62,-84.36187925656375,687364.633702138,688415.9004191451,0
16,16,1,CSS,58,52,-99.19517258466432,678930.4162111953,682502.3884309502,0
17,17,1,CSS,63,55,-84.56559784270311,690826.5603103612,687560.9471393416,0
18,18,1,CSS,66,58,-94.86819123378513,696761.8847119262,691446.9989844665,0
19,19,1,CSS,57,48,-106.619544203928,712825.4758638503,671451.1725558344,0
20,20,1,CSS,56,47,-84.67708269619465,689364.7967749558,691770.1259884664,0
21,21,1,CSS,54,43,-97.33341950142434,681685.4171159521,695964.7795584499,0
22,22,1,CSS,65,58,-85.17428739467793,688206.7948768944,691600.2537228445,0
23,23,1,CSS,76,59,-82.33297713094575,687910.6586079542,688413.8534655825,0
24,24,1,CSS,70,58,-91.08771865040951,694182.2989164953,690675.0408149479,0
25,25,1,CSS,45,35,-85.35571637508458,691324.1830146472,691098.8978845697,0
26,26,1,CSS,60,49,-87.85697922160821,690319.5617601165,686131.7958171268,0
27,27,1,CSS,59,52,-108.78351369367027,717422.7574526388,714877.8085802393,0
28,28,1,CSS,54,46,-89.44132224478983,689964.0782061886,685364.9972092678,0
29,29,1,CSS,60,45,-89.1425419776194,687954.1113885082,693077.7189203174,0
30,30,1,CSS,56,47,-82.8067831031526,690987.9757388548,690475.2210781261,0
31,31,1,CSS,65,54,-88.42816878676163,690389.8461625568,692910.7209539923,0
32,32,1,CSS,45,42,-85.42343449540294,691977.5633631789,689566.9273878181,0
33,33,1,CSS,66,59,-103.74774413815831,682148.944376075,709330.0361203463,0
34,34,1,CSS,63,50,-84.81370503014132,691647.6165417422,688548.9738443642,0
35,35,1,CSS,47,40,-110.4217681789677,648496.9507865321,709807.02063296,0
36,36,1,CSS,62,45,-101.25518877132657,704676.4440146683,693902.702055789,0
37,37,1,CSS,65,49,-83.03575335226999,688771.5049866453,687565.353957715,0
38,38,1,CSS,69,63,-106.00676859563738,667901.3575559151,706543.9087951706,0
39,39,1,CSS,62,49,-82.7163997928154,687528.5762495537,689374.2224823968,0
40,40,1,CSS,60,52,-90.69957138667284,689979.696088263,684725.2009105657,0
41,41,1,CSS,72,66,-104.80337355339823,665547.1538080022,687485.9231071009,0
42,42,1,CSS,79,66,-107.1434117941579,674034.2631099053,716723.7482822007,0
43,43,1,CSS,63,52,-85.04159327464205,689547.1713866625,691867.9365554259,0
44,44,1,CSS,68,57,-88.09678735095143,691848.354334385,691920.0433787924,0
45,45,1,CSS,72,59,-87.92879094456177,688172.3939351329,692610.6198903782,0
46,46,1,CSS,52,43,-102.03543282294373,678416.6573333454,675914.0694988284,0
47,47,1,CSS,54,38,-99.13907890163179,677463.2042612755,685833.345370739,0
48,48,1,CSS,70,66,-100.54126774593587,704063.3659865193,689777.6190129042,0
49,49,1,CSS,51,38,-84.69931101936767,687680.909992023,691024.3717061064,0
50,50,2,CSS,34,29,-103.00272409301682,677183.7951914222,674273.592649451,0
51,51,2,CSS,30,27,-105.81637206714412,707616.2980727017,669603.6170316393,0
52,52,2,CSS,29,24,-100.8885021566531,676806.9458680527,698004.3419355907,0
53,53,2,CSS,40,30,-84.14060017096594,689314.395573536,691627.1443907594,0
54,54,2,CSS,28,19,-87.00904459611608,686713.4995861312,687911.5027297364,0
55,55,2,CSS,45,37,-97.54198045907339,682334.7137968774,681820.7422676315,0
56,56,2,CSS,34,28,-108.45978213104766,661928.0700416735,713389.2274730218,0
57,57,2,CSS,41,34,-105.5043287679958,715298.3852609223,691262.9894654171,0
58,58,2,CSS,28,24,-100.56111883568579,700071.5027866445,699518.6264226405,0
59,59,2,CSS,37,33,-108.45275760915248,660077.4029920346,667785.6211689241,0
60,60,2,CSS,43,35,-89.32253622492689,685389.8624780034,689173.1893088626,0
61,61,2,CSS,35,28,-93.60495724656361,695800.2561232588,687775.7316141884,0
62,62,2,CSS,34,29,-108.16094688777928,664522.1898458257,664463.9085069967,0
63,63,2,CSS,34,30,-103.52658234690972,680010.4200878352,707817.9780611944,0
64,64,2,CSS,33,28,-89.38644973206104,685372.3596686658,689806.0246117222,0
65,65,2,CSS,41,34,-88.01394643052963,687885.6809265605,692521.9820009903,0
66,66,2,CSS,48,43,-88.52704936890478,693061.1457325359,688978.8524650104,0
67,67,2,CSS,38,33,-91.12123020247151,691147.5345759115,684770.2822973551,0
68,68,2,CSS,39,29,-88.01163565966047,692335.2815235782,687554.3904281084,0
69,69,2,CSS,38,37,-111.55025964064885,726137.9383674994,652516.0210613508,0
70,70,2,CSS,48,43,-95.59691645829248,681906.5504272215,692945.5915798486,0
71,71,2,CSS,34,31,-107.18726362848128,660131.0377976962,701033.5716582063,0
72,72,2,CSS,31,23,-87.50245086287073,686867.0201791934,687361.8100745375,0
73,73,2,CSS,40,32,-83.34358689596037,691410.7519194836,689100.1811802426,0
74,74,2,CSS,41,37,-92.37673351827505,693852.2740861331,693024.4426672593,0
75,75,2,CSS,29,23,-88.56466916794322,686482.5458513149,687163.3322934081,0
76,76,2,CSS,39,34,-100.4846261273281,687837.4374458137,703887.4125806041,0
77,77,2,CSS,40,38,-109.33938384439787,673930.4581629208,652138.0910306652,0
78,78,2,CSS,44,40,-109.36394836467197,722363.397520433,712911.9783902491,0
79,79,2,CSS,34,30,-90.23150864301621,684963.0428665009,688942.5694922329,0
80,80,2,CSS,43,35,-98.33060638019836,694781.4666271731,679396.6944765905,0
