,dev_id,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,CSS,232,81,-99.72821637402281,676069.3669626543,689797.4387448466,0
1,1,CSS,260,161,-108.43501594026176,694222.4597068931,653361.6967900113,0
2,2,CSS,275,159,-109.09294724994486,652130.3542318514,677195.7443115991,0
3,3,CSS,263,171,-101.18645938233631,675450.2198087706,682040.1006312736,0
4,4,CSS,239,145,-104.18178379254658,688990.5046202001,711694.9491160142,0
5,5,CSS,249,153,-106.18263200478236,688985.4955611124,661352.6620405721,0
6,6,CSS,258,166,-111.68601039684214,730701.7715500594,656377.2381736807,0
7,7,CSS,245,135,-102.02181107189355,695245.0955159048,673038.5529784615,0
8,8,CSS,262,162,-107.37406294284825,677056.5241654506,659689.2262220536,0
9,9,CSS,251,157,-109.33847812885813,649410.0488597257,694749.6471486294,0
10,10,CSS,249,122,-97.31833550202788,679989.5869764667,685734.3476125428,0
11,11,CSS,250,164,-109.583044851229,709013.0738113663,652823.0457760611,0
12,12,CSS,228,133,-106.00108420722893,704986.179422827,666769.7557885775,0
13,13,CSS,274,131,-88.47802256176803,688164.4456697888,692846.8055115717,0
14,14,CSS,249,131,-98.95797645015799,701590.0930710172,690341.6130483401,0
15,15,CSS,267,147,-94.82502550907803,691909.6102910767,682244.2480250268,0
16,16,CSS,274,147,-103.321542005137,708100.2498118291,681782.1159182806,0
17,17,CSS,264,154,-106.32288820785679,717553.6785413177,694024.7857836803,0
18,18,CSS,243,121,-82.17157821612857,691176.1875950814,689305.9082244107,0
19,19,CSS,252,118,-97.60816516451047,697266.0507941522,696313.0049712148,0
20,20,CSS,239,98,-84.31862381686659,687407.7027171163,688355.8586605194,0
21,21,CSS,250,119,-86.03488264483137,687761.8655363672,687199.3309894324,0
22,22,CSS,282,132,-92.470358755215,690314.407152994,695127.6531914169,0
23,23,CSS,276,143,-91.25580014309348,693936.0170926007,691612.9768187398,0
24,24,CSS,236,132,-97.48040521486317,679994.8713194667,685226.9423706358,0
25,25,CSS,244,140,-106.62440858012766,678865.1684973253,716989.1509558065,0
26,26,CSS,231,87,-85.27564001050968,687763.986993126,687493.2678066732,0
27,27,CSS,252,142,-99.8638806724089,698486.0830536761,679339.0496573881,0
28,28,CSS,260,142,-100.1983226923973,701707.4650097162,682532.6487794691,0
29,29,CSS,253,126,-91.59944703501705,690810.5452357999,694455.9018238928,0
30,30,CSS,269,135,-95.86207882544319,683501.6265660676,683228.6399981029,0
31,31,CSS,258,165,-110.60123535260533,726941.6630081346,661669.6810062604,0
32,32,CSS,235,134,-103.05671564801173,694107.5085678373,708419.5548285516,0
33,33,CSS,276,149,-95.6302530468534,692586.9693891271,681713.3678654582,0
34,34,CSS,240,129,-99.41254931866547,698432.5829040706,698590.8808307726,0
35,35,CSS,242,112,-84.8443578988608,687207.5996658326,690376.0210287042,0
36,36,CSS,255,123,-92.35747107412777,687213.2747853894,694684.2163255167,0
37,37,CSS,255,93,-83.0697506921269,687451.496555172,689335.5415225776,0
38,38,CSS,268,157,-99.03604901222849,686267.4430715548,701328.245276988,0
39,39,CSS,250,135,-96.88951983353336,682135.339594404,683107.898897535,0
40,40,CSS,258,139,-100.20389328255897,694555.8462848881,702537.31393088,0
41,41,CSS,235,141,-102.18851118334422,706895.3506066363,692276.6926668052,0
42,42,CSS,254,142,-98.07230368317353,682634.0698987741,698114.1772559511,0
43,43,CSS,274,135,-92.34351826546671,693639.2124942892,685582.9012686535,0
44,44,CSS,270,168,-105.06669983238118,679880.1039280809,666647.4197276648,0
45,45,CSS,276,135,-97.1573534869847,686711.9131649114,698964.7344393326,0
46,46,CSS,260,111,-85.37499648493447,687034.5791801398,688467.1492971599,0
47,47,CSS,246,149,-106.7971344266521,668526.7211916798,667708.7830721275,0
48,48,CSS,250,117,-92.98983881767569,689253.748091327,683268.7153965392,0
49,49,CSS,270,122,-84.34178133267257,687406.5971327433,690476.9742632151,0
50,50,FHSS,13,2,-84.34286971131642,689346.9446793689,691680.6080456186,0
