,dev_id,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,CSS,873,377,-111.45576866024035,672328.0600817495,640831.6555719288,0
1,1,CSS,865,537,-116.3903692100414,608054.3588287085,729925.5446037498,0
2,2,CSS,931,397,-96.48441087021462,698279.0073338565,687008.9280618865,0
3,3,CSS,850,423,-102.92075067163992,688020.9006663566,708636.8504120781,0
4,4,CSS,871,480,-107.48727221076,665058.8749380586,667723.3941148424,0
5,5,CSS,945,441,-99.74895129174885,702757.1156792123,688471.6983326925,0
6,6,CSS,891,594,-116.9344885771525,745253.0672108391,610388.5825858025,0
7,7,CSS,941,544,-110.71419547844371,736477.6213163994,684909.7697215831,0
8,8,CSS,868,539,-114.16822966895165,646634.5803666316,633534.2537774477,0
9,9,CSS,914,535,-113.98352698254065,676713.5343187968,757120.7929706282,0
10,10,CSS,878,470,-106.09900778558058,662193.9447493724,695038.2380673409,0
11,11,CSS,853,514,-112.0806136258071,638805.3276495086,667023.8640911723,0
12,12,CSS,864,529,-115.57164772259267,768251.1029533923,664404.4318806762,0
13,13,CSS,879,568,-117.59991136698068,647935.5121550399,593531.0065027323,0
14,14,CSS,888,559,-116.45392210659037,780625.9162372052,697281.0420129988,0
15,15,CSS,898,539,-113.18129712424494,747200.1310560014,714024.1928530134,0
16,16,CSS,939,598,-117.05034173653885,678222.3120198627,591990.1643976014,0
17,17,CSS,871,370,-89.52666671498925,688529.4328297605,693439.6250897573,0
18,18,CSS,865,407,-99.86059231617274,679682.6746043387,698846.1409419496,0
19,19,CSS,935,553,-112.32157352632055,635616.6558408573,707930.8195779264,0
20,20,CSS,864,444,-102.56216760979872,705981.3238396972,681192.5171854196,0
21,21,CSS,884,551,-115.08483251459282,733220.7459447758,624631.5838663849,0
22,22,CSS,851,460,-107.31447138883102,692833.7213708161,721194.3809768223,0
23,23,CSS,839,511,-113.65556769585912,752294.7073613997,710536.6790920255,0
24,24,CSS,923,583,-116.45806578494393,602786.9214806843,719182.9473158903,0
25,25,CSS,936,488,-107.75106783138602,721594.7367211013,679706.4556069351,0
26,26,CSS,891,551,-117.68855105022095,659497.3017506389,790620.6198077138,0
27,27,CSS,882,430,-101.44235529674903,690509.1775785105,673188.9714397873,0
28,28,CSS,875,554,-115.55875402259892,606892.5015523351,692803.2576721489,0
29,29,CSS,894,554,-114.85241807513336,654103.7570176371,621954.4510003331,0
30,30,CSS,891,551,-114.24061107503837,635749.6101341496,735840.6501670221,0
31,31,CSS,901,448,-101.38641890646397,704537.3681079032,683739.12980265,0
32,32,CSS,912,574,-115.97334867405215,664369.6286250416,772338.5255896038,0
33,33,CSS,901,469,-109.7063962270644,722791.7672330601,715067.99176971,0
34,34,CSS,906,568,-116.62250261711199,638949.4791909214,610877.5701925348,0
35,35,CSS,902,584,-117.2838498104324,695768.3437908683,588878.5770397845,0
36,36,CSS,841,410,-99.87076794270916,702317.4434026021,693596.3014073164,0
37,37,CSS,927,392,-90.49826885455101,692410.1482477621,692914.7246818438,0
38,38,CSS,893,552,-116.78162622787679,598251.6451453338,716411.5557116538,0
39,39,CSS,926,542,-111.22615732070702,662950.2020621193,732014.3793634177,0
40,40,CSS,870,385,-98.45833487522026,698292.074136075,696766.8740168927,0
41,41,CSS,882,487,-108.02408733472194,712084.8724354086,663158.7111363142,0
42,42,CSS,838,394,-102.7665982040726,706344.660351717,697887.9967737802,0
43,43,CSS,905,465,-107.52774875199343,669627.966449757,715525.4962327235,0
44,44,CSS,885,424,-103.44050148740851,703268.5566812906,674352.049020304,0
45,45,CSS,849,448,-107.74988631244949,668023.9133451395,715338.904724326,0
46,46,CSS,908,410,-97.05430115608952,684831.6730017992,680734.7374481022,0
47,47,CSS,896,531,-111.17597686072398,674765.8950258766,737074.9050064512,0
48,48,CSS,898,482,-109.29859762092705,649299.5337282479,691592.9788458615,0
49,49,CSS,894,572,-115.8845720885773,613510.3440430833,729302.0763841829,0
50,50,FHSS,14,1,-97.66672620752976,683837.4506458797,698341.8107986817,0
51,51,FHSS,14,0,-110.72137217622486,666333.8276864854,730722.854092042,0
52,52,FHSS,15,0,-114.32547073895341,749275.3520616245,650029.8971876958,0
53,53,FHSS,16,0,-93.2371974279429,695088.8171655188,686631.1733942094,0
54,54,FHSS,12,0,-112.45334182821375,717201.2886591919,638772.797634243,0
55,55,FHSS,14,1,-117.63838429456851,786280.8547896672,729741.2223945251,0
56,56,FHSS,10,0,-117.57534528926976,599354.8285409808,637051.4879028504,0
57,57,FHSS,15,0,-82.52152852319428,687573.2277223845,689301.8234707604,0
58,58,FHSS,16,0,-116.80908080114918,783583.1785130309,704510.0572401305,0
59,59,FHSS,13,2,-95.72871986008813,683688.2161634688,695590.0101026389,0
