,Unnamed: 0,dev_id,set,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,0,1,CSS,70,62,-104.29903438210934,692483.6908591506,711791.8783602448,0
1,1,1,1,CSS,63,57,-109.76194494279252,690766.6970911677,731761.1658769837,0
2,2,2,1,CSS,73,68,-112.9428530839821,686657.8721817185,628361.5490083803,0
3,3,3,1,CSS,63,55,-110.00181018660597,726208.0656352278,712719.8021504831,0
4,4,4,1,CSS,56,43,-95.21810611650062,688093.0238066836,697242.055836736,0
5,5,5,1,CSS,74,66,-107.44589520608992,696818.5731586859,657813.1681835274,0
6,6,6,1,CSS,49,45,-116.61408682893835,599316.635769417,713494.2052919768,0
7,7,7,1,CSS,62,54,-114.34047019531968,638403.7341074073,638907.187566606,0
8,8,8,1,CSS,58,52,-105.54768840745352,714906.1555218992,694919.3888050013,0
9,9,9,1,CSS,78,73,-104.63246988347962,691456.7633548708,666025.4098166863,0
10,10,10,1,CSS,68,65,-116.47687624809902,615125.6792031352,635483.1821890883,0
11,11,11,1,CSS,56,50,-113.83005951380947,629214.891798529,658467.5991859734,0
12,12,12,1,CSS,69,62,-96.32601108955568,680565.6119533122,691185.0773911474,0
13,13,13,1,CSS,57,53,-114.64455408866156,710381.9257808626,618092.805376752,0
14,14,14,1,CSS,59,52,-109.33830857847188,692020.1598120941,729681.4103714114,0
15,15,15,1,CSS,56,52,-112.45217960183862,646424.3222403454,650839.2429659711,0
16,16,16,1,CSS,64,61,-114.81159293855328,650366.3245471807,754359.1518832719,0
17,17,17,1,CSS,74,67,-114.92389253700767,765549.0811244105,699217.8302564042,0
18,18,18,1,CSS,57,54,-108.3798349235896,659315.8297340694,709418.0819480462,0
19,19,19,1,CSS,66,59,-99.08027997173129,688094.3945604259,677093.3621838454,0
20,20,20,1,CSS,51,49,-117.50283806977012,691254.2734326952,792699.7528607295,0
21,21,21,1,CSS,49,43,-108.6964744253084,722388.383518045,707223.1062888623,0
22,22,22,1,CSS,52,48,-104.83953445206012,676665.0769433029,669026.6181991474,0
23,23,23,1,CSS,60,55,-116.18652304619286,603168.8101466266,668343.0903770879,0
24,24,24,1,CSS,67,65,-116.72080811168792,755702.0860648113,756633.3930618345,0
25,25,25,1,CSS,64,60,-115.59334045228894,677743.8690150542,607318.2194066041,0
26,26,26,1,CSS,61,56,-108.54095116873027,653457.40658579,697329.4751099157,0
27,27,27,1,CSS,64,63,-113.19527815076556,651991.0809689848,638835.6674360577,0
28,28,28,1,CSS,61,56,-114.87048017755396,688631.4562358101,613118.5408518616,0
29,29,29,1,CSS,50,46,-113.72992075068116,622926.4269129812,696924.069877416,0
30,30,30,1,CSS,68,65,-114.74967458267008,703003.0400385854,763415.8023628548,0
31,31,31,1,CSS,57,47,-95.93119121305357,690206.365029412,680827.1232457168,0
32,32,32,1,CSS,54,52,-117.36228328140191,675103.4994236615,790045.9939891453,0
33,33,33,1,CSS,55,49,-114.35630107327307,721300.6813002191,624957.6047743481,0
34,34,34,1,CSS,54,46,-117.255293694467,626341.6703102415,611289.6728917005,0
35,35,35,1,CSS,69,61,-88.24753491161675,685852.6192026065,689489.1070524239,0
36,36,36,1,CSS,61,56,-113.56462591755204,749829.8675475357,663739.5509509925,0
37,37,37,1,CSS,79,70,-106.48280672072832,709096.641602226,710771.6839541924,0
38,38,38,1,CSS,71,67,-113.58489389201112,746807.2282555241,657235.0065435866,0
39,39,39,1,CSS,65,60,-117.3322900216542,737972.8672502851,600513.6331059181,0
40,40,40,1,CSS,57,53,-116.58286161766765,596598.3712473544,693939.2636150409,0
41,41,41,1,CSS,53,48,-116.013057812199,726639.2158622385,610753.313845576,0
42,42,42,1,CSS,56,50,-106.22358788109692,661409.7082905833,686118.5566003614,0
43,43,43,1,CSS,76,68,-113.19189120010336,732835.7695246368,734900.7611318011,0
44,44,44,1,CSS,63,56,-104.5986496501904,671114.908693853,674849.0881470958,0
45,45,45,1,CSS,61,57,-117.90462612868038,610845.6819134963,763801.0899437887,0
46,46,46,1,CSS,65,60,-103.63215147723056,694949.8572649049,669236.2582594604,0
47,47,47,1,CSS,69,63,-116.04573031725226,735695.1745798014,763491.591698681,0
48,48,48,1,CSS,51,48,-111.65240196892124,671245.8638163318,738854.2013199284,0
49,49,49,1,CSS,70,63,-115.38989397304408,695860.1606512993,770151.9735937719,0
50,50,50,2,FHSS,11,1,-89.60742370913091,693567.9858425442,689197.3352163965,0
51,51,51,2,FHSS,8,2,-104.16490013167213,669999.3969475832,678547.6005683115,0
52,52,52,2,FHSS,11,0,-117.52974680351926,748535.0549524205,604307.3065561438,0
53,53,53,2,FHSS,17,6,-116.6813128912359,595471.7627894984,686567.352191668,0
54,54,54,2,FHSS,12,2,-112.94740745758084,701842.990893581,749277.3450055855,0
55,55,55,2,FHSS,8,2,-102.29826670538807,698713.8471875222,704753.9507518809,0
56,56,56,2,FHSS,18,1,-103.0394238349196,697113.3186635873,671451.7906287233,0
57,57,57,2,FHSS,21,1,-110.29393772089728,669708.8105196172,729922.2505512687,0
58,58,58,2,FHSS,9,1,-117.25114897738987,754615.0638891561,765696.6223350724,0
59,59,59,2,FHSS,12,4,-113.73056157048272,622556.7100937387,692205.4937269978,0
60,60,60,2,FHSS,14,2,-114.27677422116074,625923.1182038838,657059.0443489903,0
61,61,61,2,FHSS,18,0,-92.50253342403306,689444.3236283769,695219.9789162691,0
62,62,62,2,FHSS,23,5,-110.66180330178756,704402.957272031,644869.308113355,0
63,63,63,2,FHSS,16,2,-78.82446078833941,690382.4422796355,688701.709042557,0
64,64,64,2,FHSS,24,6,-112.5187777724239,707652.2767148116,634144.0458767718,0
65,65,65,2,FHSS,15,3,-114.2096937565305,689253.162952129,618703.760753912,0
66,66,66,2,FHSS,14,3,-114.97288772812772,723023.4392939615,619911.0290949314,0
67,67,67,2,FHSS,20,3,-116.4941136803165,634701.006956867,763349.1291719805,0
68,68,68,2,FHSS,16,4,-102.0797339681014,706863.2373096248,688158.3271767916,0
69,69,69,2,FHSS,6,1,-111.03863116174333,693589.0069068671,640508.3272196663,0
70,70,70,2,FHSS,18,5,-116.04979830448474,659248.8959962779,771432.6849180266,0
71,71,71,2,FHSS,18,2,-111.87560259247402,707181.791220578,638370.5582864943,0
72,72,72,2,FHSS,16,3,-115.7925921586388,710835.5683385147,607318.8615713841,0
73,73,73,2,FHSS,15,1,-115.55007674109282,620740.7213243567,643677.1139873952,0
74,74,74,2,FHSS,18,4,-116.06233310638214,772226.9212122968,717711.30908584,0
75,75,75,2,FHSS,12,3,-113.73960822699648,639849.283633445,644352.3958913075,0
76,76,76,2,FHSS,10,3,-102.0585857620087,700025.0562596992,703267.5651208764,0
