,dev_id,set,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,1,CSS,127,53,-100.01836125386608,677824.4502911943,681913.7505051581,0
1,1,1,CSS,141,72,-92.65960321511099,686647.6753462129,694640.9309851357,0
2,2,1,CSS,119,70,-99.55811086667428,680855.2277099141,679506.2339507651,0
3,3,1,CSS,120,74,-105.82055212817319,676006.4566567435,712751.5327979155,0
4,4,1,CSS,119,74,-100.72290320189907,676250.6859890802,682283.0545818425,0
5,5,1,CSS,144,85,-104.17428614510129,705112.0823800316,705202.4649940593,0
6,6,1,CSS,116,66,-102.64293038701435,702683.2572479057,702540.6595227068,0
7,7,1,CSS,121,57,-91.83320299721716,687340.1314281307,684447.4325668365,0
8,8,1,CSS,140,83,-100.78538746742146,699678.5723337488,678373.5839197402,0
9,9,1,CSS,134,91,-103.80971860969088,691517.7101613795,668161.8183544839,0
10,10,1,CSS,128,74,-97.6608275433522,680891.352144769,683239.3702607269,0
11,11,1,CSS,130,65,-103.59460351193303,671235.792305303,699589.0670415949,0
12,12,1,CSS,133,60,-94.19918766690454,690216.2487138864,682394.8641718513,0
13,13,1,CSS,125,63,-93.84056614834242,682887.3078569918,687577.1360420262,0
14,14,1,CSS,131,75,-105.30421473385854,666878.6736764236,701053.4898820817,0
15,15,1,CSS,126,73,-102.86566950413045,678178.5549679473,673896.0039063739,0
16,16,1,CSS,110,59,-97.1869242577136,685675.6141781999,698645.6723819694,0
17,17,1,CSS,141,64,-91.05249151420064,686644.0810141512,685347.6967072312,0
18,18,1,CSS,134,89,-102.51206661787106,707732.1047880573,687819.7294867315,0
19,19,1,CSS,116,66,-103.07063769292898,675950.5831835575,703673.906349766,0
20,20,1,CSS,132,72,-102.25065735012492,675756.2287191825,700899.5266956391,0
21,21,1,CSS,115,74,-104.37246830172836,690043.139672088,712184.8496869121,0
22,22,1,CSS,125,74,-97.80384711859423,681877.8726401281,681819.5100325438,0
23,23,1,CSS,123,78,-103.05206547842873,675843.9568835307,675307.5462768192,0
24,24,1,CSS,117,67,-100.60539610396953,674647.2535795207,689642.7578362896,0
25,25,1,CSS,102,66,-104.76118601245255,713184.9793818105,687847.045033529,0
26,26,1,CSS,141,67,-90.07990880934726,685383.6649448788,687650.8593738609,0
27,27,1,CSS,120,78,-103.75661653457566,680381.8912556494,670204.2329472932,0
28,28,1,CSS,138,82,-99.47667111927443,701727.3322966031,693464.5372404038,0
29,29,1,CSS,120,49,-88.76523976510802,686355.8937063867,687188.76794222,0
30,30,1,CSS,105,50,-89.90496887602761,693168.1032200082,687304.1006328299,0
31,31,1,CSS,107,67,-104.24242829586635,675367.2640532166,706918.4250815768,0
32,32,1,CSS,112,42,-89.3530580799929,685499.6077035163,688390.4371437491,0
33,33,1,CSS,118,53,-98.22143108418913,678488.6108789706,691984.714995343,0
34,34,1,CSS,126,61,-91.48115231713834,690508.0545049309,694457.7526140071,0
35,35,1,CSS,105,55,-102.7675024709551,671836.7077430448,682352.1577198699,0
36,36,1,CSS,124,83,-103.5769966401794,701254.4370254488,672325.6679978152,0
37,37,1,CSS,135,76,-99.3207374209142,692169.9184666112,676977.8915837132,0
38,38,1,CSS,131,78,-104.03164118323427,711193.260942692,687086.2874917976,0
39,39,1,CSS,147,102,-105.52205715292112,690343.8503164973,663421.1626346755,0
40,40,1,CSS,107,59,-97.09415088660678,682461.0939662245,696399.1172262577,0
41,41,1,CSS,125,80,-103.76666239511627,668575.5299464496,693576.4527412105,0
42,42,1,CSS,124,56,-91.53533534005443,692714.3508166271,693422.9791293715,0
43,43,1,CSS,123,58,-99.23681924462221,699029.1679343341,697570.6995182692,0
44,44,1,CSS,149,80,-100.64985738190529,681146.5420600708,701738.373518079,0
45,45,1,CSS,122,73,-103.4938852683062,707350.7212021046,699517.9293629006,0
46,46,1,CSS,150,94,-104.6912566229984,672169.6783086321,673245.6699945146,0
47,47,1,CSS,141,71,-98.45434094245776,699300.1373111367,695332.5778574088,0
48,48,1,CSS,139,83,-102.10670940015818,672515.539201869,694165.0186965052,0
49,49,1,CSS,113,57,-105.04589062243429,713392.2162442016,694979.5458665136,0
50,50,2,CSS,45,23,-103.07321183324494,707557.7438320027,681958.6821451505,0
