,Unnamed: 0,dev_id,set,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,0,1,CSS,43,23,-98.3132147678742,678131.3717283169,688235.3536388408,0
1,1,1,1,CSS,43,24,-95.42242567893472,694044.908097421,696091.3553874427,0
2,2,2,1,CSS,37,25,-95.21681244741846,682135.9669429604,692591.8188616309,0
3,3,3,1,CSS,30,16,-94.80183656238142,690737.1224623512,681958.4819723157,0
4,4,4,1,CSS,36,24,-104.46416722926486,708330.6258411194,676289.5853797664,0
5,5,5,1,CSS,34,23,-102.65310416173546,670928.4319498825,686626.5973716723,0
6,6,6,1,CSS,36,20,-95.84652585471991,695916.6194140994,694938.9034635306,0
7,7,7,1,CSS,47,36,-102.91617305060478,702471.9570289027,675248.1731512435,0
8,8,8,1,CSS,36,22,-101.51268822688236,683099.4192497837,704538.4669638687,0
9,9,9,1,CSS,35,19,-98.6674113846545,682795.8536771892,679624.2337705628,0
10,10,10,1,CSS,45,32,-102.27082202615586,676717.5751364798,676809.4934270575,0
11,11,11,1,CSS,31,18,-101.30888330666828,679634.2150535369,676731.344642813,0
12,12,12,1,CSS,34,17,-102.50687249461043,688687.331031866,707775.8329498474,0
13,13,13,1,CSS,31,19,-89.20570578280622,691735.8248213221,692634.4465590221,0
14,14,14,1,CSS,46,26,-98.5961534182854,694577.7542859302,699926.4520412178,0
15,15,15,1,CSS,43,22,-92.3982410167134,683947.5759087616,691170.4398214624,0
16,16,16,1,CSS,42,17,-93.16413062790988,694885.7135166331,692464.8169925539,0
17,17,17,1,CSS,46,21,-95.34467732115483,685080.0093608181,682616.1519214548,0
18,18,18,1,CSS,40,32,-102.4500562375134,673841.7350119154,698950.3097957526,0
19,19,19,1,CSS,42,24,-103.48785352802926,709886.5728669146,687374.8053212519,0
20,20,20,1,CSS,34,19,-95.52770339583115,693553.2845310277,682300.1876311026,0
21,21,21,1,CSS,33,21,-91.29276144387846,694167.4843597403,687703.1399986105,0
22,22,22,1,CSS,33,12,-90.31411352960758,690928.261870926,685158.2610453547,0
23,23,23,1,CSS,37,28,-96.83479859556246,682166.7895071416,695658.0380073218,0
24,24,24,1,CSS,38,24,-104.93742984071226,701476.3670500758,710519.8812345745,0
25,25,25,1,CSS,32,23,-103.4227720713657,695600.2742570997,708873.5421629322,0
26,26,26,1,CSS,30,21,-100.5953826172494,700601.3989394988,679803.9827916104,0
27,27,27,1,CSS,36,24,-101.64646629469664,690025.7108874846,706045.4043062924,0
28,28,28,1,CSS,40,25,-104.54627123268617,704035.5808851385,707476.5140675352,0
29,29,29,1,CSS,31,22,-98.08367709513092,699645.8696547078,693562.9362410116,0
30,30,30,1,CSS,34,27,-99.9390480608434,696958.1195273711,700814.9998741031,0
31,31,31,1,CSS,37,16,-93.27091989618536,695736.00872412,688890.5768242357,0
32,32,32,1,CSS,43,31,-96.68879656628766,691499.972547913,680239.5664237433,0
33,33,33,1,CSS,38,27,-92.78434851306186,685263.6856915896,693747.7598079613,0
34,34,34,1,CSS,45,29,-96.40367594605893,687762.4364554315,680458.9591204149,0
35,35,35,1,CSS,33,18,-103.40146008222698,694044.3935004266,669571.9593900507,0
36,36,36,1,CSS,37,21,-92.87960129124929,685340.8502730934,684912.1050769676,0
37,37,37,1,CSS,33,14,-93.54287667400168,691327.4964423036,695672.5009164504,0
38,38,38,1,CSS,26,12,-92.17595434430297,694706.5725491033,691215.9240329044,0
39,39,39,1,CSS,31,23,-98.29281878418644,679397.4592995116,684144.2581707863,0
40,40,40,1,CSS,33,23,-105.94100112531046,709154.1687317508,670568.4074598481,0
41,41,41,1,CSS,40,21,-98.16667238566278,679236.6820952151,693974.7814369472,0
42,42,42,1,CSS,47,14,-88.37957921557889,691889.4412939373,686781.0597290627,0
43,43,43,1,CSS,35,18,-101.93069309490171,684236.1238362134,673008.4928341038,0
44,44,44,1,CSS,31,23,-100.3899869402673,683968.2600052435,702746.983728302,0
45,45,45,1,CSS,32,12,-90.94138798557364,687159.6063165478,693710.6636256529,0
46,46,46,1,CSS,39,21,-105.0252839846698,691288.2192970517,664921.9329641188,0
47,47,47,1,CSS,38,23,-88.3069835446106,686820.0335874138,691886.8168228371,0
48,48,48,1,CSS,30,16,-92.45147715725858,683979.2750328905,691372.4581792568,0
49,49,49,1,CSS,46,25,-88.89252315548802,693242.288106387,689544.0255074309,0
50,50,50,2,FHSS,25,13,-96.67801637839628,697148.2431759839,684082.3308122866,0
51,51,51,2,FHSS,15,6,-92.88295661321256,695092.7501169817,691544.6206454462,0
52,52,52,2,FHSS,14,9,-103.51771814050409,669100.4374474076,693125.5345156796,0
53,53,53,2,FHSS,24,10,-95.20301888128098,693377.7393717717,682547.4164788995,0
54,54,54,2,FHSS,16,6,-98.85507973529285,693417.3137449707,678024.4965860903,0
55,55,55,2,FHSS,15,6,-88.4663591070486,686389.5609666916,687363.1388299677,0
56,56,56,2,FHSS,12,3,-101.926761890708,704084.6047170272,698368.6366700196,0
57,57,57,2,FHSS,21,13,-99.80705421297846,679357.6610811009,698374.3899686415,0
58,58,58,2,FHSS,16,10,-102.0152434203532,683465.5151301465,673092.6543919144,0
59,59,59,2,FHSS,15,5,-93.94745125639189,695055.3697513707,685511.3955243157,0
