,type,annulus_width,devices_set_1,devices_set_2,dr_set_1,dr_set_2,mod_set_1,mod_set_2,cr_set_1,cr_set_2,tx_pkts_mean_set_1,tx_pkts_std_set_1,tx_pkts_mean_set_2,tx_pkts_std_set_2,rx_pkts_mean_set_1,rx_pkts_std_set_1,rx_pkts_mean_set_2,rx_pkts_std_set_2,payload_size
0,DISTANCE,0,50,1,0,0,CSS,CSS,0.8,0.8,1833.9,44.013899319798206,36.46666666666667,6.453595036015886,775.6,23.149658024831957,15.9,3.681937895547217,10
1,DISTANCE,0,50,10,0,0,CSS,CSS,0.8,0.8,1839.6666666666667,37.58752748216118,365.9,23.557518262046763,679.6,19.93422517514371,134.06666666666666,11.171193112445758,10
2,DISTANCE,0,50,50,0,0,CSS,CSS,0.8,0.8,1835.8333333333333,41.69898746439241,1848.0666666666666,34.65538277895016,341.3333333333333,16.42626622888544,335.5,17.44276354251241,10
3,DISTANCE,0,50,100,0,0,CSS,CSS,0.8,0.8,1823.1333333333334,36.08206695237339,3677.5,62.90455733357746,141.03333333333333,12.297651085561919,287.76666666666665,16.8358413973153,10
4,DISTANCE,0,50,300,0,0,CSS,CSS,0.8,0.8,1842.9666666666667,53.836470496825434,10995.166666666666,110.37242509894499,4.933333333333334,2.264705033528404,30.8,3.8764244693617687,10
5,DISTANCE,0,50,1,0,1,CSS,CSS,0.8,0.8,1830.7,40.904074776644606,63.93333333333333,8.425886039791633,776.4333333333333,20.81935531075724,37.733333333333334,6.297795028597091,10
6,DISTANCE,0,50,10,0,1,CSS,CSS,0.8,0.8,1822.9,38.92415702362737,627.7333333333333,27.764405670250213,707.9666666666667,18.33118169192107,332.3,15.824348327814324,10
7,DISTANCE,0,50,50,0,1,CSS,CSS,0.8,0.8,1843.0,37.13847959551746,3149.866666666667,56.16151311668477,474.1,17.026156348395254,843.4,25.038104294588017,10
8,DISTANCE,0,50,100,0,1,CSS,CSS,0.8,0.8,1839.3666666666666,52.107250508499824,6286.533333333334,65.08339948780248,280.73333333333335,13.218505546728377,762.5333333333333,28.25447850439918,10
9,DISTANCE,0,50,300,0,1,CSS,CSS,0.8,0.8,1829.5666666666666,46.46911758242122,18851.766666666666,157.00524053532592,37.86666666666667,6.878630354624062,106.6,11.023006244517267,10
10,DISTANCE,0,50,1,0,2,CSS,CSS,0.8,0.8,1844.5666666666666,41.103676504933496,121.0,9.584710046040342,778.2333333333333,20.298905279732587,74.43333333333334,8.853185239725242,10
11,DISTANCE,0,50,10,0,2,CSS,CSS,0.8,0.8,1828.4333333333334,39.274829372286554,1259.6333333333334,31.31291888165153,710.0333333333333,23.87395140221986,660.1333333333333,22.176163379228207,10
12,DISTANCE,0,50,50,0,2,CSS,CSS,0.8,0.8,1820.1333333333334,44.51796141883508,6281.733333333334,74.94083592333949,472.8666666666667,17.077730788629058,1689.3333333333333,33.633647173956945,10
13,DISTANCE,0,50,100,0,2,CSS,CSS,0.8,0.8,1829.6333333333334,34.22034807278006,12561.666666666666,129.84332439093237,281.1333333333333,14.32651000379677,1452.7333333333333,34.95228493564079,10
14,DISTANCE,0,50,300,0,2,CSS,CSS,0.8,0.8,1841.7666666666667,40.88576225968589,37750.86666666667,215.8165476098212,36.7,4.46579593503032,180.76666666666668,13.975414921290254,10
15,DISTANCE,0,50,1,0,3,CSS,CSS,0.8,0.8,1829.9,49.48491352590875,250.0,15.006665185843255,783.6666666666666,17.730074888605394,151.7,14.373934743138358,10
16,DISTANCE,0,50,10,0,3,CSS,CSS,0.8,0.8,1830.7333333333333,37.44412133062041,2531.3333333333335,44.50792688449503,709.9,17.722584461641027,1307.0,36.06013495999888,10
17,DISTANCE,0,50,50,0,3,CSS,CSS,0.8,0.8,1842.6333333333334,42.57580168228061,12636.533333333333,119.71542182284713,473.4,15.076692829220429,3301.3,72.37501871041783,10
18,DISTANCE,0,50,100,0,3,CSS,CSS,0.8,0.8,1827.0,45.2430473479996,25258.133333333335,122.34751961341739,283.53333333333336,15.64338695920917,2861.866666666667,51.97546429700161,10
19,DISTANCE,0,50,300,0,3,CSS,CSS,0.8,0.8,1839.1,47.26616125728849,75740.83333333333,215.86571185706072,39.2,6.803920438492306,324.43333333333334,21.660537594641756,10
20,DISTANCE,0,50,1,0,4,CSS,CSS,0.8,0.8,1842.2,44.113792249892406,506.03333333333336,14.684421072082555,776.3333333333334,19.30860487508671,303.96666666666664,13.425059486729369,10
21,DISTANCE,0,50,10,0,4,CSS,CSS,0.8,0.8,1847.1,47.8688137865702,5041.066666666667,77.29938910208512,711.0666666666667,19.421522997838135,2593.5333333333333,55.9986507773972,10
22,DISTANCE,0,50,50,0,4,CSS,CSS,0.8,0.8,1835.4,52.71154206306876,25218.533333333333,196.6302339135284,476.03333333333336,21.267319739188782,6600.7,123.4447649760815,10
23,DISTANCE,0,50,100,0,4,CSS,CSS,0.8,0.8,1829.0,29.873064790878086,50512.53333333333,205.26336470224996,285.23333333333335,14.705290053431641,5701.833333333333,99.7246486860473,10
24,DISTANCE,0,50,300,0,4,CSS,CSS,0.8,0.8,1819.5333333333333,42.444264106655865,151463.2,360.20599661860155,37.86666666666667,6.83487787422391,621.1666666666666,26.390760167570438,10
25,DISTANCE,0,50,1,0,5,CSS,CSS,0.8,0.8,1829.9,40.65820950312495,889.0333333333333,38.835965576025295,788.5333333333333,18.48374661395489,529.1333333333333,29.302711289040968,10
26,DISTANCE,0,50,10,0,5,CSS,CSS,0.8,0.8,1841.9666666666667,44.615007440197616,8857.433333333332,103.1796760779736,713.9,20.44072731908856,4560.8,99.09302027220014,10
27,DISTANCE,0,50,50,0,5,CSS,CSS,0.8,0.8,1836.9,47.123490249909686,44393.86666666667,172.9918559418975,468.3666666666667,19.930685442859765,11455.866666666667,202.62621306786102,10
28,DISTANCE,0,50,100,0,5,CSS,CSS,0.8,0.8,1831.4333333333334,48.12808143092993,88749.6,279.12417786115674,281.8666666666667,14.412340391329769,9715.1,149.3872707651715,10
29,DISTANCE,0,50,300,0,5,CSS,CSS,0.8,0.8,1819.4666666666667,41.02010347243031,266173.8333333333,572.9034871211342,36.96666666666667,6.605469114470389,990.7,36.85209175429078,10
30,DISTANCE,0,50,1,0,8,CSS,FHSS,0.8,0.3333333333333333,1840.7333333333333,39.87558428690697,14.633333333333333,3.071192312803323,772.9666666666667,22.12160834016269,6.9,2.5212430796467578,10
31,DISTANCE,0,50,10,0,8,CSS,FHSS,0.8,0.3333333333333333,1854.8,45.21386218112022,143.76666666666668,9.174905388552455,717.8666666666667,20.639336767983174,70.93333333333334,7.911735306211624,10
32,DISTANCE,0,50,50,0,8,CSS,FHSS,0.8,0.3333333333333333,1830.3666666666666,37.62134441451496,713.9333333333333,25.93701773313364,524.5666666666667,17.003300333235963,352.8,22.091325597769515,10
33,DISTANCE,0,50,100,0,8,CSS,FHSS,0.8,0.3333333333333333,1838.2666666666667,33.71442157626647,1430.3,28.220737056285397,346.3333333333333,14.4691242152231,695.6333333333333,22.18630708843232,10
34,DISTANCE,0,50,300,0,8,CSS,FHSS,0.8,0.3333333333333333,1836.6333333333334,38.40875189617885,4319.866666666667,70.24895412428255,70.33333333333333,7.440131420583614,2110.0,53.86093203798092,10
35,DISTANCE,0,50,1,0,9,CSS,FHSS,0.8,0.6666666666666666,1845.3666666666666,30.62840003801846,35.93333333333333,4.122566622330749,771.7,21.282465396032794,17.5,4.080441152620633,10
36,DISTANCE,0,50,10,0,9,CSS,FHSS,0.8,0.6666666666666666,1830.0666666666666,45.18623192473074,334.3666666666667,16.863141924195375,675.6333333333333,19.16852164936624,165.6,13.350655414622908,10
37,DISTANCE,0,50,50,0,9,CSS,FHSS,0.8,0.6666666666666666,1833.3666666666666,35.19799552373528,1688.0333333333333,39.50146270146911,394.23333333333335,16.14658546635239,830.5,30.736243535387775,10
38,DISTANCE,0,50,100,0,9,CSS,FHSS,0.8,0.6666666666666666,1831.0333333333333,50.12017779519764,3386.3,67.20820882402188,196.1,12.275585525749882,1661.9,53.22803146212842,10
39,DISTANCE,0,50,300,0,9,CSS,FHSS,0.8,0.6666666666666666,1841.4333333333334,45.17866999173639,10153.966666666667,109.91556860710052,11.633333333333333,3.038457210859192,4952.0,116.99287727606897,10
40,DISTANCE,0,50,1,1,0,CSS,CSS,0.8,0.8,3155.133333333333,40.624076057869374,37.3,5.23545604508337,1344.7,27.852169275180945,22.0,4.187282332651255,10
